PRODUTO;DESCRICAO;LOTE MINIMO;PRECO (R$);%ICMS;%IPI;IPI (R$)
S3546;TOM EMB BRASIKON 2P+T 63A 200/250V 6H AZ IP67;1;R$ 413,60;7;9,75;R$ 40,32
S3542;TOM EMB BRASIKON 2P+T 63A 24V 2H LI IP67;1;R$ 837,24;7;9,75;R$ 81,63
S3549;TOM EMB BRASIKON 2P+T 63A 380/440V 9H VM IP67;1;R$ 413,60;7;9,75;R$ 40,32
S3846;TOM EMB BRASIKON 2P+T+PIL 200A 200/250V 6H AZ IP67;1;R$ 1.810,76;7;9,75;R$ 176,54
S5646;TOM EMB BRASIKON 3P+N+T 125A 380/440V 6H VM IP67;1;R$ 349,09;7;9,75;R$ 34,03
S5044;TOM EMB BRASIKON 3P+N+T 16A 100/130V 4H AM IP44;1;R$ 42,24;7;9,75;R$ 4,11
S5049;TOM EMB BRASIKON 3P+N+T 16A 200/250V 9H AZ IP44;1;R$ 42,24;7;9,75;R$ 4,11
S5046;TOM EMB BRASIKON 3P+N+T 16A 380/440V 6H VM IP44;1;R$ 42,24;7;9,75;R$ 4,11
S5244;TOM EMB BRASIKON 3P+N+T 32A 100/130V 4H AM IP44;1;R$ 53,35;7;9,75;R$ 5,20
S5249;TOM EMB BRASIKON 3P+N+T 32A 200/250V 9H AZ IP44;1;R$ 53,35;7;9,75;R$ 5,20
S5246;TOM EMB BRASIKON 3P+N+T 32A 380/440V 6H VM IP44;1;R$ 53,35;7;9,75;R$ 5,20
S5549;TOM EMB BRASIKON 3P+N+T 63A 200/250V 9H AZ IP67;1;R$ 238,77;7;9,75;R$ 23,28
PRODUTO;DESCRICAO;LOTE MINIMO;PRECO;%ICMS;%IPI;IPI
S5546;TOM EMB BRASIKON 3P+N+T 63A 380/440V 6H VM IP67;1;R$ 238,77;7;9,75;R$ 23,28
S5545;TOM EMB BRASIKON 3P+N+T 63A 600/690V 5H PT IP67;1;R$ 668,58;7;9,75;R$ 65,18
S4649;TOM EMB BRASIKON 3P+T 125A 200/250V 9H AZ IP67;1;R$ 317,35;7;9,75;R$ 30,94
S4646;TOM EMB BRASIKON 3P+T 125A 380/440V 6H VM IP67;1;R$ 317,35;7;9,75;R$ 30,94
S4044;TOM EMB BRASIKON 3P+T 16A 100/130V 4H AM IP44;1;R$ 34,37;7;9,75;R$ 3,35
S4049;TOM EMB BRASIKON 3P+T 16A 200/250V 9H AZ IP44;1;R$ 34,37;7;9,75;R$ 3,35
S4046;TOM EMB BRASIKON 3P+T 16A 380/440V 6H VM IP44;1;R$ 34,37;7;9,75;R$ 3,35
S4045;TOM EMB BRASIKON 3P+T 16A 600/690V 5H PT IP44;1;R$ 51,59;7;9,75;R$ 5,03
S4845MT;TOM EMB BRASIKON 3P+T 200A 600/690V 5H PT FV;1;R$ 2.218,46;7;9,75;R$ 216,29
S4249;TOM EMB BRASIKON 3P+T 32A 200/250V 9H AZ IP44;1;R$ 37,44;7;9,75;R$ 3,65
S4246;TOM EMB BRASIKON 3P+T 32A 380/440V 6H VM IP44;1;R$ 37,44;7;9,75;R$ 3,65
S4245;TOM EMB BRASIKON 3P+T 32A 600/690V 5H PT IP44;1;R$ 48,67;7;9,75;R$ 4,74
S4544;TOM EMB BRASIKON 3P+T 63A 100/130V 4H AM IP67;1;R$ 131,68;7;9,75;R$ 12,83
S4549;TOM EMB BRASIKON 3P+T 63A 200/250V 9H AZ IP67;1;R$ 131,68;7;9,75;R$ 12,83
S4546;TOM EMB BRASIKON 3P+T 63A 380/440V 6H VM IP67;1;R$ 131,68;7;9,75;R$ 12,83
S4545;TOM EMB BRASIKON 3P+T 63A 600/690V 5H PT IP67;1;R$ 171,21;7;9,75;R$ 16,69
S5649;TOM EMB BRASIKON 3P+T+N 125A 200/250V 9H AZ IP67;1;R$ 1.696,62;7;9,75;R$ 165,42
S4846;TOM EMB BRASIKON 3P+T+PIL 200A 380/440V 6H VM IP67;1;R$ 1.285,89;7;9,75;R$ 125,37
S1046;TOM EMB BRASIKON 6P+T 16A 380/440V 6H VM IP44;1;R$ 1.362,45;4;9,75;R$ 132,83
SN3044;TOM EMB NEG BRASIKON 2P+T 16A 100/130V 4H AM IP44;1;R$ 64,44;7;9,75;R$ 6,28
SN3046;TOM EMB NEG BRASIKON 2P+T 16A 200/250V 6H AZ IP44;1;R$ 64,44;7;9,75;R$ 6,28
SN3042;TOM EMB NEG BRASIKON 2P+T 16A 24V 2H LI IP44;1;R$ 180,42;7;9,75;R$ 17,59
SN3049;TOM EMB NEG BRASIKON 2P+T 16A 380/440V 9H VM IP44;1;R$ 64,44;7;9,75;R$ 6,28
SN3244;TOM EMB NEG BRASIKON 2P+T 32A 100/130V 4H AM IP44;1;R$ 125,28;7;9,75;R$ 12,21
SN3246;TOM EMB NEG BRASIKON 2P+T 32A 200/250V 6H AZ IP44;1;R$ 125,28;7;9,75;R$ 12,21
SN3242;TOM EMB NEG BRASIKON 2P+T 32A 24V 2H LI IP44;1;R$ 384,94;7;15;R$ 57,74
SN3249;TOM EMB NEG BRASIKON 2P+T 32A 380/440V 9H VM IP44;1;R$ 125,28;7;9,75;R$ 12,21
SN3546;TOM EMB NEG BRASIKON 2P+T 63A 200/250V 6H AZ IP67;1;R$ 1.116,30;7;9,75;R$ 108,83
SN5646;TOM EMB NEG BRASIKON 3P+N+T 125A 380/440V 6H VM;1;R$ 592,08;7;9,75;R$ 57,72
SN5049;TOM EMB NEG BRASIKON 3P+N+T 16A 200/250V 9H AZ;1;R$ 85,71;7;9,75;R$ 8,35
SN5046;TOM EMB NEG BRASIKON 3P+N+T 16A 380/440V 6H VM;1;R$ 85,71;7;9,75;R$ 8,35
SN5249;TOM EMB NEG BRASIKON 3P+N+T 32A 200/250V 9H AZ;1;R$ 101,68;7;9,75;R$ 9,91
SN5246;TOM EMB NEG BRASIKON 3P+N+T 32A 380/440V 6H VM;1;R$ 101,68;7;9,75;R$ 9,91
SN5549;TOM EMB NEG BRASIKON 3P+N+T 63A 200/250V 9H AZ;1;R$ 298,48;7;9,75;R$ 29,10
SN5546;TOM EMB NEG BRASIKON 3P+N+T 63A 380/440V 6H VM;1;R$ 298,48;7;9,75;R$ 29,10
SN4649;TOM EMB NEG BRASIKON 3P+T 125A 200/250V 9H AZ IP67;1;R$ 455,45;7;9,75;R$ 44,40
SN4646;TOM EMB NEG BRASIKON 3P+T 125A 380/440V 6H VM IP67;1;R$ 455,45;7;9,75;R$ 44,40
SN4049;TOM EMB NEG BRASIKON 3P+T 16A 200/250V 9H AZ IP44;1;R$ 78,85;7;9,75;R$ 7,68
SN4046;TOM EMB NEG BRASIKON 3P+T 16A 380/440V 6H VM IP44;1;R$ 78,85;7;9,75;R$ 7,68
SN4249;TOM EMB NEG BRASIKON 3P+T 32A 200/250V 9H AZ IP44;1;R$ 89,18;7;9,75;R$ 8,69
SN4246;TOM EMB NEG BRASIKON 3P+T 32A 380/440V 6H VM IP44;1;R$ 89,18;7;9,75;R$ 8,69
